"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Occurrence","species.ID","species.inat.ID","species.common","species.science","phylum.inat.ID","phylum.common","phylum.science","class.inat.ID","class.common","class.science","order.inat.ID","order.common","order.science","family.inat.ID","family.common","family.science","genus.inat.ID","genus.common","genus.science","kingdom.inat.ID","kingdom.common","kingdom.science"
"Conyza canadensis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","199124","199124","Horseweed","Conyza canadensis","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47605","Sunflowers and allies","Asterales","47604","Sunflowers, daisies, asters and allies","Asteraceae","53024","Sunflowers, daisies, asters and allies","Conyza",47126,"Plants","Plantae"
"Cooperella subdiaphana","Invertebrate","Animalia","Mollusca","Bivalvia","Veneroida","Veneridae","Cooperella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","339153","339153","Animals","Cooperella subdiaphana","47115","Mollusks","Mollusca","47584","Bivalves","Bivalvia","50586","Veneroids","Veneroida","171888","Veneroids","Petricolidae","246326","Veneroids","Cooperella",1,"Animals","Animalia"
"Copestylum mexicanum","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Copestylum",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"4742615","4742615","Mexican Cactus Fly","Copestylum mexicanum","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47822","Flies","Diptera","49995","Hover Flies","Syrphidae","128846","Hover Flies","Copestylum",1,"Animals","Animalia"
"Coprinellus disseminatus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus",2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,NA,"11131","11131","Trooping Crumble Cap","Coprinellus disseminatus","47169","Trooping Crumble Cap","Basidiomycota","50814","Agaricomycetes","Agaricomycetes","47167","Gilled mushrooms","Agaricales","56310","Gilled mushrooms","Psathyrellaceae","56315","Gilled mushrooms","Coprinellus",47170,"Fungi including lichens","Fungi"
"Coprinellus micaceus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus",4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,NA,"2893412","2893412","Mica Cap","Coprinellus micaceus","47169","Mica Cap","Basidiomycota","50814","Agaricomycetes","Agaricomycetes","47167","Gilled mushrooms","Agaricales","56310","Gilled mushrooms","Psathyrellaceae","56315","Gilled mushrooms","Coprinellus",47170,"Fungi including lichens","Fungi"
"Coprinus comatus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Coprinus",5,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,NA,"908","908","Shaggy mane","Coprinus comatus","47169","Shaggy mane","Basidiomycota","50814","Agaricomycetes","Agaricomycetes","47167","Gilled mushrooms","Agaricales","47394","Agaricaceae","Agaricaceae","47393","Inky caps","Coprinus",47170,"Fungi including lichens","Fungi"
"Coprosma repens","Plant","Plantae","Magnoliophyta","Magnoliopsida","Gentianales","Rubiaceae","Coprosma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","123089","123089","Taupata","Coprosma repens","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47363","Dicots","Gentianales","47693","Coffees, bedstraws, and allies","Rubiaceae","70254","Coffees, bedstraws, and allies","Coprosma",47126,"Plants","Plantae"
"Corallina vancouveriensis","Plant","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina",2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"","3061340","3061340","Plants","Corallina vancouveriensis","57774","Red Algae","Rhodophyta","57775","Red Algae","Florideophyceae","117827","Coralline algae","Corallinales","117828","Coralline Algae","Corallinaceae","123631","Coralline Algae","Corallina",47126,"Plants","Plantae"
"Corallophila eatoniana","Plant","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Corallophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","339007","339007","Plants","Ceramium eatonianum","57774","Red Algae","Rhodophyta","57775","Red Algae","Florideophyceae","57776","Red Algae","Ceramiales","68613","Red Algae","Ceramiaceae","68612","Red Algae","Ceramium",47126,"Plants","Plantae"
"Corallorhiza maculata","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Corallorhiza",15,13,0,1,3,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,7,NA,"48756","48756","Spotted coralroot","Corallorhiza maculata","47125","Flowering plants","Magnoliophyta","47163","Monocots","Liliopsida","47218","Agaves and allies","Asparagales","47217","Orchids","Orchidaceae","49445","Coralroots","Corallorhiza",47126,"Plants","Plantae"
"Corallorhiza striata","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Corallorhiza",3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,NA,"4392","4392","Striped Coralroot","Corallorhiza striata","47125","Flowering plants","Magnoliophyta","47163","Monocots","Liliopsida","47218","Agaves and allies","Asparagales","47217","Orchids","Orchidaceae","49445","Coralroots","Corallorhiza",47126,"Plants","Plantae"
"Corallorrhiza maculata","Plant","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Corallorrhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47126,"Plants","Plantae"
"Corallorrhiza striata","Plant","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Corallorrhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47126,"Plants","Plantae"
"Corallorrhiza wisteriana","Plant","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Corallorrhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47126,"Plants","Plantae"
"Corbicula fluminalis","Invertebrate","Animalia","Mollusca","Bivalvia","Veneroida","Corbiculidae","Corbicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1120926","1120926","Animals","Corbicula fluminalis","47115","Mollusks","Mollusca","47584","Bivalves","Bivalvia","50586","Veneroids","Veneroida","64008","Veneroids","Corbiculidae","64009","Veneroids","Corbicula",1,"Animals","Animalia"
"Corbicula fluminea","Invertebrate","Animalia","Mollusca","Bivalvia","Veneroida","Corbiculidae","Corbicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","19489","19489","Asian Clam","Corbicula fluminea","47115","Mollusks","Mollusca","47584","Bivalves","Bivalvia","50586","Veneroids","Veneroida","64008","Veneroids","Corbiculidae","64009","Veneroids","Corbicula",1,"Animals","Animalia"
"Cordulegaster dorsalis","Invertebrate","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",7,7,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,NA,"18100","18100","Pacific Spiketail","Cordulegaster dorsalis","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47792","Dragonflies and Damselflies","Odonata","57448","Spiketails and Allies","Cordulegastridae","57449","Spiketails","Cordulegaster",1,"Animals","Animalia"
"Cordylanthus pilosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Cordylanthus",2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,"57271","57271","Hairy bird's beak","Cordylanthus pilosus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","48151","Dicots","Lamiales","47322","Broomrape family","Orobanchaceae","57273","Broomrape family","Cordylanthus",47126,"Plants","Plantae"
"Cordylanthus rigidus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Cordylanthus",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"57272","57272","Stiffbranch Bird's Beak","Cordylanthus rigidus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","48151","Dicots","Lamiales","47322","Broomrape family","Orobanchaceae","57273","Broomrape family","Cordylanthus",47126,"Plants","Plantae"
"Cordyline australis","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Cordyline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","3976","3976","New Zealand cabbage tree","Cordyline australis","47125","Flowering plants","Magnoliophyta","47163","Monocots","Liliopsida","47218","Agaves and allies","Asparagales","47599","Asparagus family","Asparagaceae","50192","Cabbage trees and relatives","Cordyline",47126,"Plants","Plantae"
"Cordyline stricta","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Cordyline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","709561","709561","Slender Palm Lily","Cordyline stricta","47125","Flowering plants","Magnoliophyta","47163","Monocots","Liliopsida","47218","Agaves and allies","Asparagales","47599","Asparagus family","Asparagaceae","50192","Cabbage trees and relatives","Cordyline",47126,"Plants","Plantae"
"Corella inflata","Invertebrate","Animalia","Chordata","Ascidiacea","Phlebobranchia","Corellidae","Corella",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"750102","750102","Animals","Corella inflata","2","Chordates","Chordata","47811","Sea Squirts","Ascidiacea","347984","Sea Squirts","Phlebobranchia","347992","Sea Squirts","Corellidae","347993","Sea Squirts","Corella",1,"Animals","Animalia"
"Coreopsis tinctoria","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Coreopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","43033","43033","Plains coreopsis","Coreopsis tinctoria","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47605","Sunflowers and allies","Asterales","47604","Sunflowers, daisies, asters and allies","Asteraceae","57952","Tickseed","Coreopsis",47126,"Plants","Plantae"
"Corethrogyne filaginifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Corethrogyne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","56579","56579","California Aster","Corethrogyne filaginifolia","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47605","Sunflowers and allies","Asterales","47604","Sunflowers, daisies, asters and allies","Asteraceae","58013","Sunflowers, daisies, asters and allies","Corethrogyne",47126,"Plants","Plantae"
"Corethron","Plant","Chromista","Ochrophyta","Bacillariophyceae","Corethrales","Corethraceae","Corethron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","472885","472885","Diatoms","Corethron criophilum","48221","Kelp, Diatoms, and Allies","Ochrophyta","123880","Diatoms","Bacillariophyceae","152265","Diatoms","Corethrales","345482","Diatoms","Corethraceae","345228","Kelp, Diatoms, and Allies","Corethron",48222,"Kelp, Diatoms, and Allies","Chromista"
"Cornu aspersum","Invertebrate","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cornu",40,27,1,5,20,2,2,3,4,1,0,2,0,0,0,0,0,0,0,1,1,19,8,11,0,NA,"1074436","1074436","Garden Snail","Cornu aspersum","47115","Mollusks","Mollusca","47114","Gastropods","Gastropoda","47485","Common Land Snails and Slugs","Stylommatophora","47484","Common Land Snails and Slugs","Helicidae","87634","Common Land Snails and Slugs","Cornu",1,"Animals","Animalia"
"Cornus nuttallii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Cornales","Cornaceae","Cornus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","36921","36921","Pacific Dogwood","Cornus nuttallii","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47195","Dicots","Cornales","47194","Dogwood family","Cornaceae","47193","Dogwoods","Cornus",47126,"Plants","Plantae"
"Cornus sericea","Plant","Plantae","Magnoliophyta","Magnoliopsida","Cornales","Cornaceae","Cornus",3,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"Present","5373","5373","Red osier dogwood","Cornus sericea","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47195","Dicots","Cornales","47194","Dogwood family","Cornaceae","47193","Dogwoods","Cornus",47126,"Plants","Plantae"
"Coronula diadema","Invertebrate","Animalia","Arthropoda","","Sessilia","Coronulidae","Coronula",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"5963","5963","Animals","Coronula diadema","47120","Arthropods","Arthropoda",NA,NA,NA,"47662","Sessile Barnacles","Sessilia","53634","Sessile Barnacles","Coronulidae","53637","Sessile Barnacles","Coronula",1,"Animals","Animalia"
"Corophium acherusicum","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","209043","209043","Animals","Monocorophium acherusicum","47120","Arthropods","Arthropoda","47187","Malacostracans","Malacostraca","47628","Amphipods","Amphipoda","64636","Amphipods","Corophiidae","209049","Amphipods","Monocorophium",1,"Animals","Animalia"
"Corophium alienense","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","345227","345227","Animals","Corophium alienense","47120","Arthropods","Arthropoda","47187","Malacostracans","Malacostraca","47628","Amphipods","Amphipoda","64636","Amphipods","Corophiidae","64637","Amphipods","Corophium",1,"Animals","Animalia"
"Corophium brevis","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","339118","339118","Animals","Corophium brevis","47120","Arthropods","Arthropoda","47187","Malacostracans","Malacostraca","47628","Amphipods","Amphipoda","64636","Amphipods","Corophiidae","64637","Amphipods","Corophium",1,"Animals","Animalia"
"Corophium insidiosum","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","339117","339117","Animals","Corophium insidiosum","47120","Arthropods","Arthropoda","47187","Malacostracans","Malacostraca","47628","Amphipods","Amphipoda","64636","Amphipods","Corophiidae","64637","Amphipods","Corophium",1,"Animals","Animalia"
"Corophium insidiosum","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","3902590","3902590","Animals","Monocorophium insidiosum","47120","Arthropods","Arthropoda","47187","Malacostracans","Malacostraca","47628","Amphipods","Amphipoda","64636","Amphipods","Corophiidae","209049","Amphipods","Monocorophium",1,"Animals","Animalia"
"Corophium stimpsoni","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","345210","345210","Animals","Americorophium stimpsoni","47120","Arthropods","Arthropoda","47187","Malacostracans","Malacostraca","47628","Amphipods","Amphipoda","64636","Amphipods","Corophiidae","171249","Amphipods","Americorophium",1,"Animals","Animalia"
"Cortaderia jubata","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Cortaderia",7,6,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,5,1,0,"Present","54497","54497","Purple Pampas Grass","Cortaderia jubata","47125","Flowering plants","Magnoliophyta","47163","Monocots","Liliopsida","47162","Grasses and allies","Poales","47434","Grasses","Poaceae","52715","Pampas grasses","Cortaderia",47126,"Plants","Plantae"
"Cortaderia selloana","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Cortaderia",2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"Present","74162","74162","Pampas Grass","Cortaderia selloana","47125","Flowering plants","Magnoliophyta","47163","Monocots","Liliopsida","47162","Grasses and allies","Poales","47434","Grasses","Poaceae","52715","Pampas grasses","Cortaderia",47126,"Plants","Plantae"
"Cortinarius trivialis","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,"2340429","2340429","Fungi including lichens","Cortinarius trivialis","47169","Fungi including lichens","Basidiomycota","50814","Agaricomycetes","Agaricomycetes","47167","Gilled mushrooms","Agaricales","48705","Gilled mushrooms","Cortinariaceae","48704","Webcaps","Cortinarius",47170,"Fungi including lichens","Fungi"
"Corvus brachyrhynchos","Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",25,20,3,1,5,5,0,2,3,1,1,0,1,3,0,0,0,0,1,3,3,5,6,1,6,"Present","950","950","American Crow","Corvus brachyrhynchos","2","Chordates","Chordata","3","Birds","Aves","7251","Perching Birds","Passeriformes","7823","Crows, Jays, and Magpies","Corvidae","7998","Crows and Ravens","Corvus",1,"Animals","Animalia"
"Corvus corax","Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",89,41,15,8,9,11,6,3,3,8,12,6,4,4,0,0,1,0,2,7,16,13,9,22,19,"Present","1365","1365","Common Raven","Corvus corax","2","Chordates","Chordata","3","Birds","Aves","7251","Perching Birds","Passeriformes","7823","Crows, Jays, and Magpies","Corvidae","7998","Crows and Ravens","Corvus",1,"Animals","Animalia"
"Corycaeus anglicus","Invertebrate","Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Corycaeidae","Corycaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","345224","345224","Animals","Corycaeus anglicus","47120","Arthropods","Arthropoda",NA,NA,NA,"117686","Arthropods","Poecilostomatoida","201732","Arthropods","Corycaeidae","201733","Arthropods","Corycaeus",1,"Animals","Animalia"
"Corylus cornuta","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Corylus",16,16,1,0,3,0,0,4,0,1,7,0,0,0,0,0,0,0,0,0,2,4,6,3,1,"Present","53374","53374","Beaked Hazelnut","Corylus cornuta","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47853","Dicots","Fagales","49155","Birches and allies","Betulaceae","53373","Hazels","Corylus",47126,"Plants","Plantae"
"Corymbia ficifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Corymbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","72045","72045","Red-flowering gum","Corymbia ficifolia","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47791","Dicots","Myrtales","51816","Myrtle Family","Myrtaceae","122025","Myrtle Family","Corymbia",47126,"Plants","Plantae"
"Corynactis californica","Invertebrate","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Corallimorphidae","Corynactis",9,6,0,0,1,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,7,0,NA,"1163857","1163857","Strawberry Anemone","Corynactis californica","47534","Cnidarians","Cnidaria","47533","Sea Anemones and Corals","Anthozoa","152818","Sea Anemones and Corals","Corallimorpharia","124501","Sea Anemones and Corals","Corallimorphidae","124502","Sea Anemones and Corals","Corynactis",1,"Animals","Animalia"
"Corynoneura","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Corynoneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","473682","473682","Non-biting Midges","Corynoneura spreta","47120","Arthropods","Arthropoda","47158","Insects","Insecta","47822","Flies","Diptera","53275","Non-biting Midges","Chironomidae","174181","Animals","Corynoneura",1,"Animals","Animalia"
"Corynorhinus townsendii","Mammal","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Corynorhinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","970790","970790","Townsend's Big-eared Bat","Corynorhinus townsendii","2","Chordates","Chordata","40151","Mammals","Mammalia","40268","Bats","Chiroptera","40269","Vesper Bats","Vespertilionidae","71833","Pale Lump-nosed Bat","Corynorhinus",1,"Animals","Animalia"
"Cossura","Invertebrate","Animalia","Annelida","Polychaeta",NA,"Cossuridae","Cossura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present",NA,NA,NA,NA,"47491","Annelids","Annelida","47490","Polychaetes","Polychaeta",NA,NA,NA,"345480","Polychaetes","Cossuridae","345220","Animals","Cossura",1,"Animals","Animalia"
"Costaria costata","Microbe","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Costaria",4,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,NA,"596601","596601","Seersucker kelp","Costaria costata","48221","Seersucker kelp","Ochrophyta","48220","Brown Algae","Phaeophyceae","68789","Kelps","Laminariales","67425","Kelps","Laminariaceae","125878","Kelps","Costaria",48222,"Kelp, Diatoms, and Allies","Chromista"
"Cotoneaster franchetii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Present","1253655","1253655","Franchet's cotoneaster","Cotoneaster franchetii","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47132","Roses and allies","Rosales","47148","Rose family","Rosaceae","53376","Cotoneaster","Cotoneaster",47126,"Plants","Plantae"
"Cotoneaster integrifolius","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","222204","222204","Entire-leaved cotoneaster","Cotoneaster integrifolius","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47132","Roses and allies","Rosales","47148","Rose family","Rosaceae","53376","Cotoneaster","Cotoneaster",47126,"Plants","Plantae"
"Cotoneaster lacteus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Present","222199","222199","Late cotoneaster","Cotoneaster lacteus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47132","Roses and allies","Rosales","47148","Rose family","Rosaceae","53376","Cotoneaster","Cotoneaster",47126,"Plants","Plantae"
"Cotoneaster pannosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Present","63542","63542","Silverleaf cotoneaster","Cotoneaster pannosus","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47132","Roses and allies","Rosales","47148","Rose family","Rosaceae","53376","Cotoneaster","Cotoneaster",47126,"Plants","Plantae"
"Cotoneaster salicifolius","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","1072856","1072856","Willow-leaved Cotoneaster","Cotoneaster salicifolius","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47132","Roses and allies","Rosales","47148","Rose family","Rosaceae","53376","Cotoneaster","Cotoneaster",47126,"Plants","Plantae"
"Cottus aleuticus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","43182","43182","Coastrange Sculpin","Cottus aleuticus","2","Chordates","Chordata","47178","Ray-finned Fishes","Actinopterygii","47286","Mail-cheeked Fishes","Scorpaeniformes","47645","Typical Sculpins","Cottidae","47644","Typical Sculpins","Cottus",1,"Animals","Animalia"
"Cottus asper","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Present","48614","48614","Prickly Sculpin","Cottus asper","2","Chordates","Chordata","47178","Ray-finned Fishes","Actinopterygii","47286","Mail-cheeked Fishes","Scorpaeniformes","47645","Typical Sculpins","Cottidae","47644","Typical Sculpins","Cottus",1,"Animals","Animalia"
