"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","original.inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","speciesTidy","matched.inat.ID","taxizeName","scrapediNatName"
"Corvus corax","Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",89,41,8010,15,8,9,11,6,3,3,8,12,6,4,4,0,0,1,0,2,7,16,13,9,22,19,"Common Raven","Present","Corvus corax","8010",NA,NA
"Corycaeus anglicus","Invertebrate","Animalia","Arthropoda","Maxillopoda","Poecilostomatoida","Corycaeidae","Corycaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Corycaeus anglicus","345224","Corycaeus anglicus","Corycaeus anglicus"
"Corylus cornuta","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Corylus",16,16,53368,1,0,3,0,0,4,0,1,7,0,0,0,0,0,0,0,0,0,2,4,6,3,1,"California hazelnut","Present","Corylus cornuta","53374",NA,NA
"Corymbia ficifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Myrtaceae","Corymbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"redflower gum","Unconfirmed","Eucalyptus ficifolia","122024","Corymbia ficifolia",NA
"Corynactis californica","Invertebrate","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Corallimorphidae","Corynactis",9,6,124499,0,0,1,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,7,0,NA,NA,NA,NA,NA,NA
"Corynoneura","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Corynoneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Corynoneura","174181","Corynoneura","Corynoneura"
"Corynorhinus townsendii","Mammal","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Corynorhinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Townsend's big-eared bat","Present","Corynorhinus townsendii","74205",NA,NA
"Cossura","Invertebrate","Animalia","Annelida","Polychaeta",NA,"Cossuridae","Cossura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cossura","345220","Cossura","Cossura"
"Costaria costata","Microbe","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Costaria",4,3,125877,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,NA,NA,NA,NA,NA,NA
"Cotoneaster franchetii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",1,1,64290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Franchet's cotoneaster, orange cotoneaster","Present","Cotoneaster franchetii","64290",NA,NA
"Cotoneaster integrifolius","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"entire-leaved cotoneaster","Present","Cotoneaster integrifolius","76459",NA,NA
"Cotoneaster lacteus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",1,1,76460,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"milkflower cotoneaster","Present","Cotoneaster lacteus","76460",NA,NA
"Cotoneaster pannosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",1,1,53375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"cotoneaster, silverleaf cotoneaster, velvet cotoneaster","Present","Cotoneaster pannosa","53375","Cotoneaster pannosus",NA
"Cotoneaster salicifolius","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cotoneaster","Unconfirmed","Cotoneaster salicifolius","337820",NA,NA
"Cottus aleuticus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"coastrange sculpin","Present","Cottus aleuticus","84353",NA,NA
"Cottus asper","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus",1,1,69857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"prickly sculpin","Present","Cottus asper","69857",NA,NA
"Cottus gulosus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"riffle sculpin","Present","Cottus gulosus","68071","Cottus gulosus","Cottus gulosus"
"Cotula australis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australian waterbuttons","Present","Cotula australis","53025",NA,NA
"Cotula coronopifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula",6,6,58812,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,"common brassbuttons","Present","Cotula coronopifolia","58812",NA,NA
"Coturnicops noveboracensis","Bird","Animalia","Chordata","Aves","Gruiformes","Rallidae","Coturnicops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow Rail","Present","Coturnicops noveboracensis","542",NA,NA
"Crangon franciscorum","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California bay shrimp, California shrimp","Present","Crangon franciscorum","48812","Crangon franciscorum","Crangon franciscorum"
"Crangon nigricauda","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blacktail bay shrimp, blacktailed shrimp","","Crangon nigricauda","339110",NA,NA
"Crangonyx pseudogracilis","Invertebrate","Animalia","Arthropoda","Malacostraca","Amphipoda","Crangonyctidae","Crangonyx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"northern river crangonyctid","Present","Crangonyx pseudogracilis","217719","Crangonyx pseudogracilis","Crangonyx pseudogracilis"
"Crassadoma gigantea","Invertebrate","Animalia","Mollusca","Bivalvia","Ostreoida","Pectinidae","Crassadoma",13,10,54526,0,0,0,0,0,6,0,1,0,3,2,1,0,0,0,0,0,0,1,0,4,8,0,NA,NA,NA,NA,NA,NA
"Crassula aquatica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common pigmyweed, water pygmyweed","Unconfirmed","Crassula aquatica","58135",NA,NA
"Crassula connata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Unconfirmed","Crassula erecta","57016","Crassula connata",NA
"Crassula connata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sand pygmyweed","Unconfirmed","Crassula connata","57016",NA,NA
"Crassula multicava","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cape Province pygmyweed","Present","Crassula multicava","76464",NA,NA
"Crataegus monogyna","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus",1,1,51147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"oneseed hawthorn, singleseed hawthorn","Present","Crataegus monogyna","51147",NA,NA
"Crataegus phaenopyrum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus",1,1,141714,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Craterellus calicornucopioides","Fungi","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus",1,1,473935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"Crepidotus mollis","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Crepidotaceae","Crepidotus",3,3,118283,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,0,NA,NA,NA,NA,NA,NA
"Crepidula adunca","Invertebrate","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Calyptraeidae","Crepidula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hooked slippersnail","Present","Crepidula adunca","128141",NA,NA
"Crepis capillaris","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Crepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"smooth hawksbeard","Probably Present","Crepis capillaris","54050",NA,NA
"Crepis vesicaria","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Crepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"beaked hawksbeard","Unconfirmed","Crepis vesicaria","56868",NA,NA
"Crimora coneja","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Polyceratidae","Crimora",1,1,50057,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Crisia maxima","Invertebrate","Animalia","Bryozoa","Stenolaemata","Cyclostomatida","Crisiidae","Crisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Crisia maxima","195944","Crisia maxima","Crisia maxima"
"Crotalus oreganus","Herp","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus",11,8,48267,0,0,3,1,0,4,2,1,0,0,0,0,0,0,0,0,0,1,4,2,0,2,2,NA,NA,NA,NA,NA,NA
"Crotalus viridis","Herp","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"western rattlesnake","Present","Crotalus viridis","81526",NA,NA
"Croton californicus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Croton",3,2,76484,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,"California croton","Unconfirmed","Croton californicus","76484",NA,NA
"Croton setiger","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Croton",2,2,154156,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA
"Croton setiger","Plant","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Croton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dove weed","Unconfirmed","Croton setigerus","154156","Croton setiger","Croton setiger"
"Crucibulum laeve","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Crucibulum",1,1,120030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Crustose corallines","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Crustose corallines",NA,NA,NA
"Cryptantha clevelandii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Cryptantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cleveland's cryptantha","Unconfirmed","Cryptantha clevelandii","57698",NA,NA
"Cryptantha clevelandii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Cryptantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Unconfirmed","Cryptantha hispidissima","57698","Cryptantha clevelandii",NA
"Cryptantha flaccida","Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Cryptantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"weakstem cryptantha","Unconfirmed","Cryptantha flaccida","56989",NA,NA
"Cryptantha leiocarpa","Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Cryptantha",4,2,57704,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,"white forget-me-not","Present","Cryptantha leiocarpa","57704",NA,NA
"Cryptantha micromeres","Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Cryptantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pygmyflower cryptantha","Unconfirmed","Cryptantha micromeres","53027",NA,NA
"Cryptochiton stelleri","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Mopaliidae","Cryptochiton",11,10,49053,1,1,0,0,3,2,1,0,0,1,1,1,0,0,0,0,0,0,2,3,1,5,0,NA,NA,NA,NA,NA,NA
"Cryptomeria japonica","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Cryptomeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japanese cedar","Unconfirmed","Cryptomeria japonica","71147",NA,NA
"Cryptomya californica","Invertebrate","Animalia","Mollusca","Bivalvia","Myoida","Myidae","Cryptomya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cryptomya californica","339152",NA,NA
"Cryptopleura rosacea","Plant","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Cryptopleura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cryptopleura rosacea","339008","Cryptopleura rosacea","Cryptopleura rosacea"
"Cryptopleura ruprechtiana","Plant","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Cryptopleura",4,3,327014,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,"","Present","Botryoglossum farlowianum","327014","Cryptopleura ruprechtiana",NA
"Cryptopleura violacea","Plant","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Cryptopleura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cryptopleura violacea","327012",NA,NA
"Cryptoporus volvatus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Cryptoporus",2,2,118051,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Cryptosiphonia woodii","Plant","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","Cryptosiphonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cryptosiphonia woodii","117777","Cryptosiphonia woodii","Cryptosiphonia woodii"
"Ctenucha brunnea","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ctenucha",1,1,63800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Ctenucha rubroscapus","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ctenucha",1,1,63801,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Culex erythrothorax","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culex",1,1,259069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Culex pipiens","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culex",1,1,130032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Culex tarsalis","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culex",1,1,259078,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Culicidae","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Culicidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mosquitoes","Present","Culicidae","52134",NA,"Culicidae"
"Culicoides","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Culicoides","122218","Culicoides","Culicoides"
"Culiseta incidens","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culiseta",1,1,259109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Culiseta particeps","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culiseta",2,1,294269,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA
"Cumella vulgaris","Invertebrate","Animalia","Arthropoda","Malacostraca","Cumacea","Nannastacidae","Cumella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cumella vulgaris","345203","Cumella vulgaris","Cumella vulgaris"
"Cupressus macrocarpa","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Cupressus",21,19,322545,3,1,3,3,0,0,0,3,5,2,1,0,0,0,0,0,0,3,5,5,0,6,2,"Monterey cypress","Present","Callitropsis macrocarpa","322545","Cupressus macrocarpa",NA
"Cupressus sargentii","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Cupressus",1,1,83149,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Sargent cypress, Sargent's cypress","Unconfirmed","Cupressus sargentii","83149",NA,NA
"Cuscuta californica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California dodder, chaparral dodder","Unconfirmed","Cuscuta californica","57019",NA,NA
"Cuscuta salina","Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta",1,1,64204,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"goldenthread, saltmarsh dodder","Unconfirmed","Cuscuta salina","64204",NA,NA
"Cuthona abronia","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Cuthona",14,6,50512,0,0,1,3,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,6,6,0,NA,NA,NA,NA,NA,NA
"Cuthona albocrusta","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Cuthona",5,3,48980,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,NA,NA,NA,NA,NA,NA
"Cuthona divae","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Cuthona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rose-pink cuthona","Present","Cuthona divae","47399",NA,NA
"Cyanocitta cristata","Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blue Jay","Unconfirmed","Cyanocitta cristata","8229",NA,NA
"Cyanocitta stelleri","Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta",10,10,8234,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,1,3,2,4,0,"Steller's Jay","Present","Cyanocitta stelleri","8234",NA,NA
"Cyanoplax dentiens","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Lepidochitonidae","Cyanoplax",1,1,71241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","Present","Cyanoplex dentiens","71241","Cyanoplax dentiens",NA
"Cyanoplax dentiens","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Lepidochitonidae","Cyanoplax",1,1,71241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","Present","Cyanoplax dentiens","71241",NA,NA
"Cyanoplax hartwegii","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Lepidochitonidae","Cyanoplax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cyanoplex hartwegii","131185","Cyanoplax hartwegii",NA
"Cyathus olla","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Nidulariaceae","Cyathus",1,1,118131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"Cyathus striatus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Nidulariaceae","Cyathus",1,1,120242,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Cycloneda polita","Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Cycloneda",2,1,55492,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"Cydia pomonella","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Cydia",1,1,47153,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Cygnus columbianus","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tundra Swan","Present","Cygnus columbianus","6917",NA,NA
"Cygnus olor","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus",1,1,6921,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Cymatogaster aggregata","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shiner perch","Present","Cymatogaster aggregata","98855",NA,NA
"Cymbalaria muralis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Cymbalaria",4,4,55727,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,"Kenilworth ivy","Unconfirmed","Cymbalaria muralis","55727",NA,NA
"Cymbella","Invertebrate","Chromista","Ochrophyta","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Cymbella","123878",NA,NA
"Cynara cardunculus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cynara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"artichoke, artichoke thistle, cardoon, wild artichoke","Present","Cynara cardunculus","57563",NA,NA
"Cynara cardunculus","Plant","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Cynara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"globe artichoke","Unconfirmed","Cynara scolymus",NA,"Cynara cardunculus",NA
