"speciesFixed","total_obs","user_obs","kingdom","phylum","class","order","family","genus","category","inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","Category"
"Cinclus mexicanus",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Cinclidae","Cinclus","Bird",7643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American Dipper","Unconfirmed","Bird"
"Circaea alpina",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Circaea","Plant",76342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enchanter's Nightshade","Present","Plant"
"Circus cyaneus",21,13,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Bird",5170,1,2,1,0,3,1,2,1,1,5,4,0,1,1,0,0,0,1,1,4,7,5,1,"Northern Harrier","Present","Bird"
"Cirsium andrewsii",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Plant",55294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franciscan Thistle","Present","Plant"
"Cirsium brevistylum",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Plant",52993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Indian Thistle, clustered thistle","Present","Plant"
"Cirsium occidentale",15,14,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Plant",52621,0,0,0,0,3,5,5,1,1,0,0,0,0,0,2,0,0,1,0,1,3,8,0,"cobweb thistle, cobwebby thistle","Present","Plant"
"Cirsium quercetorum",19,13,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Plant",60954,0,0,0,0,5,4,8,2,0,0,0,0,0,0,1,0,0,0,1,5,0,12,0,"Alameda County thistle, Brownie Thistle","Present","Plant"
"Cirsium vulgare",21,14,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Plant",52989,0,0,0,0,0,2,5,5,7,0,2,0,0,0,1,0,0,1,1,1,2,15,0,"Bull Thistle","Present","Plant"
"Cisseps fulvicollis",3,3,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cisseps","Invertebrate",119789,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,NA,NA,NA
"Cistothorus palustris",3,2,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cistothorus","Bird",7601,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,"Marsh Wren","Present","Bird"
"Cistothorus platensis",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cistothorus","Bird",7596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sedge Wren","Unconfirmed","Bird"
"Citharichthys sordidus",NA,NA,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","Fish",48415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific sanddab, Pacific Sanddab","Present","Fish"
"Citharichthys stigmaeus",NA,NA,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","Fish",117542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"speckled sanddab, Speckled Sanddab","Present","Fish"
"Cladidium bolanderi",2,2,"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Cladidium","Fungi",117937,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA
"Cladonia macilenta",1,1,"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","Fungi",117950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"Cladophora trichotoma",NA,NA,"Plantae","Chlorophyta","Ulvophyceae","Cladophorales","Cladophoraceae","Cladophora","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Plant"
"Clangula hyemalis",NA,NA,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Clangula","Bird",7170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-tailed duck, Oldsquaw","Present","Bird"
"Clarkia amoena",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Clarkia","Plant",61048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Godetia","Present","Plant"
"Clarkia concinna",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Clarkia","Plant",51854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red Ribbons","Unconfirmed","Plant"
"Clarkia davyi",3,3,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Clarkia","Plant",61051,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,"Davy's Godetia","Present","Plant"
"Clarkia purpurea",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Clarkia","Plant",51087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winecup Godetia","Present","Plant"
"Clarkia rubicunda",6,5,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Clarkia","Plant",57148,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,"Ruby Chalice Godetia","Present","Plant"
"Clavulina coralloides",1,1,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","Clavulina","Fungi",63260,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"Clavulina rugosa",1,1,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","Clavulina","Fungi",81961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"Claytonia exigua",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia","Plant",57233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pale spring beauty","Present","Plant"
"Claytonia parviflora",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia","Plant",58294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"littleleaf springbeauty, streambank springbeauty","Present","Plant"
"Claytonia perfoliata",20,13,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia","Plant",52994,1,2,7,6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,11,5,"miner's lettuce","Present","Plant"
"Claytonia sibirica",39,24,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Montiaceae","Claytonia","Plant",55767,1,4,4,5,5,8,7,5,0,0,0,0,0,0,0,0,1,2,3,6,7,17,3,"Candy-striped Claytonia, Siberian springbeauty","Present","Plant"
"Clematis ligusticifolia",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Clematis","Plant",58996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Clevelandia ios",NA,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Clevelandia","Fish",117564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"arrow goby","Present","Fish"
"Clinocardium nuttallii",1,1,"Animalia","Mollusca","Bivalvia","Veneroida","Cardiidae","Clinocardium","Invertebrate",69925,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
"Clinocottus acuticeps",NA,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sharpnose sculpin","Probably Present","Fish"
"Clinocottus analis",NA,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Fish",117533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"woolly sculpin","Present","Fish"
"Clinocottus embryum",NA,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"calico sculpin","Present","Fish"
"Clinocottus globiceps",NA,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mosshead sculpin","Present","Fish"
"Clinocottus recalvus",NA,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bald sculpin","Present","Fish"
"Clinopodium douglasii",2,2,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Clinopodium","Plant",53203,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"yerba buena","Present","Plant"
"Clitocybe nuda",3,2,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Clitocybe","Fungi",54624,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA
"Clupea pallasii",NA,NA,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Fish",117571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific herring","Present","Fish"
"Coccinella californica",2,1,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella","Invertebrate",128712,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA
"Coccinella septempunctata",10,6,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella","Invertebrate",51702,0,0,2,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,5,1,NA,NA,NA
"Coccothraustes vespertinus",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Coccothraustes","Bird",9800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evening Grosbeak","Present","Bird"
"Coccyzus americanus",NA,NA,"Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Bird",1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow-billed Cuckoo","Present","Bird"
"Coccyzus erythropthalmus",NA,NA,"Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Bird",1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black-billed Cuckoo","Unconfirmed","Bird"
"Codium fragile",1,1,"Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Codiaceae","Codium","Plant",67555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Codium setchellii",1,1,"Plantae","Chlorophyta","Bryopsidophyceae","Bryopsidales","Codiaceae","Codium","Plant",117776,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Coenonympha tullia",4,4,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Invertebrate",235341,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,NA,NA,NA
"Colaptes auratus",5,5,"Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Bird",18236,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,"Northern Flicker","Present","Bird"
"Colias eurytheme",1,1,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Invertebrate",58532,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Collema nigrescens",NA,NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Collemataceae","Collema","Fungi",217428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Fungi"
"Collinsia corymbosa",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Collinsia","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"roundhead Chinese houses, Round-headed Chinese Houses","Unconfirmed","Plant"
"Collinsia heterophylla",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Collinsia","Plant",47325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Chinese Houses","Present","Plant"
"Collomia heterophylla",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Collomia","Plant",52996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Varied-leaved Collomia","Present","Plant"
"Coluber constrictor",NA,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Coluber","Herp",27137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Racer","Present","Herp"
"Columba fasciata",NA,NA,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Patagioenas","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Band-tailed Pigeon","Present","Bird"
"Columba livia",NA,NA,"Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Bird",3017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rock Dove","Present","Bird"
"Conferva utriculosa",NA,NA,"Plantae","Chlorophyta","Ulvophyceae","Cladophorales","Cladophoraceae","Conferva","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Plant"
"Conicosia pugioniformis",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Conicosia","Plant",76427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow Iceplant","Present","Plant"
"Conium maculatum",11,7,"Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Conium","Plant",52998,0,0,2,0,2,2,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,9,0,"Poison Hemlock","Present","Plant"
"Contia tenuis",NA,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Contia","Herp",26916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sharp-tailed Snake","Probably Present","Herp"
"Contopus cooperi",2,2,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus","Bird",16110,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Olive-sided Flycatcher","Present","Bird"
"Contopus sordidulus",3,1,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus","Bird",16079,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,"Western Wood-Pewee","Present","Bird"
"Convolvulus arvensis",3,2,"Plantae","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Convolvulus","Plant",53021,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"Bindweed, field bindweed","Present","Plant"
"Conyza floribunda",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horseweed","Present","Plant"
"Coprinopsis atramentaria",1,1,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","Fungi",48521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Coprinus comatus",2,2,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Coprinus","Fungi",47392,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA
"Coragyps atratus",1,1,"Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Coragyps","Bird",4765,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Corallina chilensis",NA,NA,"Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Plant"
"Corallorrhiza maculata",NA,NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Corallorrhiza","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spotted Coralroot","Unconfirmed","Plant"
"Corallorrhiza striata",NA,NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Corallorrhiza","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Striped Coralroot","Present","Plant"
"Corbicula fluminea",NA,NA,"Animalia","Mollusca","Bivalvia","Veneroida","Corbiculidae","Corbicula","Invertebrate",64006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asian clam","Present","Invertebrate"
"Cordulegaster dorsalis",1,1,"Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster","Invertebrate",62762,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Corethrogyne filaginifolia",5,5,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Corethrogyne","Plant",58014,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,"California sandaster, common sandaster, whiteleaf sandaster","Present","Plant"
"Cornu aspersum",8,1,"Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cornu","Invertebrate",480298,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,NA,NA
"Cornus nuttallii",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Plant",76447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mountain Dogwood","Present","Plant"
"Cornus sericea",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Plant",53387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Creek Dogwood, dogwood, redosier dogwood","Present","Plant"
"Corolla spectabilis",2,2,"Animalia","Mollusca","Gastropoda","Thecosomata","Cymbuliidae","Corolla","Invertebrate",55318,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA
"Cortaderia jubata",8,2,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Cortaderia","Plant",52714,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,"Pampas Grass, purple pampas grass","Present","Plant"
"Cortaderia selloana",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Cortaderia","Plant",64240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uruguayan pampas grass","Present","Plant"
"Cortinarius smithii",2,2,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Fungi",348842,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA
"Corvus brachyrhynchos",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Bird",8021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American Crow","Present","Bird"
"Corvus corax",23,19,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Bird",8010,1,2,4,2,1,0,0,0,1,1,8,3,0,1,0,2,0,1,2,4,4,8,1,"Common Raven","Present","Bird"
"Corylus cornuta",11,8,"Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Corylus","Plant",53368,0,1,0,0,6,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,9,1,"California hazelnut","Present","Plant"
"Corynorhinus townsendii",NA,NA,"Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Corynorhinus","Mammal",74205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mule-eared bat, Pacific Townsend's big-eared bat, Townsend's big-eared bat, Townsend's Big-eared Bat, western big-eared bat, western long-eared bat, western lump-nosed bat","Present","Mammal"
"Cotoneaster franchetii",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster","Plant",64290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large-leaved Cotoneaster, orange cotoneaster","Present","Plant"
"Cotoneaster pannosus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster","Plant",53375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"firethorn, silverleaf cotoneaster","Present","Plant"
"Cottus aleuticus",NA,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus","Fish",84353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"coastrange sculpin","Present","Fish"
"Cottus asper",NA,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus","Fish",69857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"prickly sculpin","Present","Fish"
"Cottus gulosus",NA,NA,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"riffle sculpin","Present","Fish"
"Cotula australis",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula","Plant",53025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Buttons","Present","Plant"
"Cotula coronopifolia",13,7,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula","Plant",58812,0,1,1,2,2,5,2,0,0,0,0,0,0,0,0,0,0,1,5,0,1,5,1,"Brass Buttons, common brassbuttons","Present","Plant"
"Cotula turbinata",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula","Plant",61320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Coturnicops noveboracensis",NA,NA,"Animalia","Chordata","Aves","Gruiformes","Rallidae","Coturnicops","Bird",542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow Rail","Present","Bird"
"Crangon franciscorum",NA,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon","Invertebrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California bay shrimp, California shrimp","Present","Invertebrate"
"Crassostrea gigas",NA,NA,"Animalia","Mollusca","Bivalvia","Ostreoida","Ostreidae","Crassostrea","Invertebrate",117602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Invertebrate"
"Crassula aquatica",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Plant",58135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water Pigmy-weed","Present","Plant"
"Crassula connata",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula","Plant",57016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sand Pigmy-weed, sand pygmyweed","Present","Plant"
"Crataegus monogyna",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus","Plant",51147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"European Hawthorn","Unconfirmed","Plant"
