"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","original.inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","speciesTidy","matched.inat.ID","taxizeName","scrapediNatName"
"Coluber constrictor","Herp","Animalia","Chordata","Reptilia","Squamata","Colubridae","Coluber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Racer","Present","Coluber constrictor","27137",NA,NA
"Coluber lateralis","Herp","Metazoa","Chordata","Reptilia","Squamata","Colubridae","Coluber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Striped Racer","Unconfirmed","Masticophis lateralis","146034","Coluber lateralis","Coluber lateralis"
"Columba livia","Bird","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rock Dove","Present","Columba livia","3017",NA,NA
"Conferva utriculosa","Plant","Plantae","Chlorophyta","Ulvophyceae","Cladophorales","Cladophoraceae","Conferva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Conferva utriculosa",NA,NA,NA
"Conicosia pugioniformis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Conicosia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow Iceplant","Present","Conicosia pugioniformis","76427",NA,NA
"Conium maculatum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Conium",13,7,52998,0,0,2,1,3,2,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,10,1,"Poison Hemlock","Present","Conium maculatum","52998",NA,NA
"Contia tenuis","Herp","Animalia","Chordata","Reptilia","Squamata","Colubridae","Contia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sharp-tailed Snake","Probably Present","Contia tenuis","26916",NA,NA
"Contopus cooperi","Bird","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus",2,2,16110,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Olive-sided Flycatcher","Present","Contopus cooperi","16110",NA,NA
"Contopus sordidulus","Bird","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus",3,1,16079,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,"Western Wood-Pewee","Present","Contopus sordidulus","16079",NA,NA
"Convolvulus arvensis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Convolvulus",3,2,53021,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"Bindweed, field bindweed","Present","Convolvulus arvensis","53021",NA,NA
"Coprinopsis atramentaria","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis",1,1,48521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Coprinus comatus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Coprinus",2,2,47392,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA
"Coragyps atratus","Bird","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Coragyps",1,1,4765,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Corallina officinalis","Plant","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Corallina chilensis","123632","Corallina officinalis",NA
"Corallorrhiza maculata","Plant","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Corallorrhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spotted Coralroot","Unconfirmed","Corallorrhiza maculata",NA,"Corallorrhiza maculata",NA
"Corallorrhiza striata","Plant","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Corallorrhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Striped Coralroot","Present","Corallorrhiza striata",NA,"Corallorrhiza striata",NA
"Corbicula fluminea","Invertebrate","Animalia","Mollusca","Bivalvia","Veneroida","Corbiculidae","Corbicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asian clam","Present","Corbicula fluminea","64006",NA,NA
"Cordulegaster dorsalis","Invertebrate","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",1,1,62762,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Corethrogyne filaginifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Corethrogyne",5,5,58014,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,"California sandaster, common sandaster, whiteleaf sandaster","Present","Corethrogyne filaginifolia","58014",NA,NA
"Cornu aspersum","Invertebrate","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Cornu",9,2,480298,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,NA,NA,NA,NA,NA
"Cornus nuttallii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Cornales","Cornaceae","Cornus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mountain Dogwood","Present","Cornus nuttallii","76447",NA,NA
"Cornus sericea","Plant","Plantae","Magnoliophyta","Magnoliopsida","Cornales","Cornaceae","Cornus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Creek Dogwood, dogwood, redosier dogwood","Present","Cornus sericea","53387",NA,NA
"Corolla spectabilis","Invertebrate","Animalia","Mollusca","Gastropoda","Thecosomata","Cymbuliidae","Corolla",2,2,55318,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA
"Cortaderia jubata","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Cortaderia",8,2,52714,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,"Pampas Grass, purple pampas grass","Present","Cortaderia jubata","52714",NA,NA
"Cortaderia selloana","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Cortaderia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uruguayan pampas grass","Present","Cortaderia selloana","64240",NA,NA
"Cortinarius smithii","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",2,2,348842,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Corvus brachyrhynchos","Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American Crow","Present","Corvus brachyrhynchos","8021",NA,NA
"Corvus corax","Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",24,20,8010,1,2,4,3,1,0,0,0,1,1,8,3,0,1,0,2,0,1,2,4,4,8,2,"Common Raven","Present","Corvus corax","8010",NA,NA
"Corylus cornuta","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Corylus",12,8,53368,0,1,0,1,6,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,9,2,"California hazelnut","Present","Corylus cornuta","53374",NA,NA
"Corynorhinus townsendii","Mammal","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Corynorhinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mule-eared bat, Pacific Townsend's big-eared bat, Townsend's big-eared bat, Townsend's Big-eared Bat, western big-eared bat, western long-eared bat, western lump-nosed bat","Present","Corynorhinus townsendii","74205",NA,NA
"Cotoneaster franchetii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large-leaved Cotoneaster, orange cotoneaster","Present","Cotoneaster franchetii","64290",NA,NA
"Cotoneaster pannosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Cotoneaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"firethorn, silverleaf cotoneaster","Present","Cotoneaster pannosus","53375",NA,NA
"Cottus aleuticus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"coastrange sculpin","Present","Cottus aleuticus","84353",NA,NA
"Cottus asper","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"prickly sculpin","Present","Cottus asper","69857",NA,NA
"Cottus gulosus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"riffle sculpin","Present","Cottus gulosus","68071","Cottus gulosus","Cottus gulosus"
"Cotula australis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Buttons","Present","Cotula australis","53025",NA,NA
"Cotula coronopifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula",14,8,58812,0,1,1,3,2,5,2,0,0,0,0,0,0,0,0,0,0,1,5,0,1,5,2,"Brass Buttons, common brassbuttons","Present","Cotula coronopifolia","58812",NA,NA
"Cotula turbinata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cotula",1,1,61320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Coturnicops noveboracensis","Bird","Animalia","Chordata","Aves","Gruiformes","Rallidae","Coturnicops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yellow Rail","Present","Coturnicops noveboracensis","542",NA,NA
"Crangon franciscorum","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California bay shrimp, California shrimp","Present","Crangon franciscorum","48812","Crangon franciscorum","Crangon franciscorum"
"Crassostrea gigas","Invertebrate","Animalia","Mollusca","Bivalvia","Ostreoida","Ostreidae","Crassostrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Crassostrea gigas","117602",NA,NA
"Crassula aquatica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water Pigmy-weed","Present","Crassula aquatica","58135",NA,NA
"Crassula connata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Crassula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sand Pigmy-weed, sand pygmyweed","Present","Crassula connata","57016",NA,NA
"Crataegus monogyna","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"European Hawthorn","Unconfirmed","Crataegus monogyna","51147",NA,NA
"Craterellus tubaeformis","Fungi","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus",2,1,350511,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"Crepidotus mollis","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Crepidotaceae","Crepidotus",1,1,118283,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Crepidula adunca","Invertebrate","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Calyptraeidae","Crepidula",1,1,128141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Crepis capillaris","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Crepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hawksbeard","Unconfirmed","Crepis capillaris","54050",NA,NA
"Crotalus viridis","Herp","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prairie Rattlesnake, Western Rattlesnake","Probably Present","Crotalus viridis","81526",NA,NA
"Cryptantha leiocarpa","Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Cryptantha",1,1,57704,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Coast Cryptantha","Present","Cryptantha leiocarpa","57704",NA,NA
"Cryptantha micromeres","Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Cryptantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minute-flowered Cryptantha","Present","Cryptantha micromeres","53027",NA,NA
"Cryptantha torreyana","Plant","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Cryptantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cryptantha","Unconfirmed","Cryptantha torreyana","57697","Cryptantha torreyana","Cryptantha torreyana"
"Cryptochiton stelleri","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Mopaliidae","Cryptochiton",2,2,49053,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"Cryptolithodes sitchensis","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Cryptolithodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"umbrella crab","","Cryptolithodes sitchensis","47395",NA,NA
"Cryptomya californica","Invertebrate","Animalia","Mollusca","Bivalvia","Myoida","Myidae","Cryptomya",1,1,339152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Present","Cryptomya californica","339152",NA,NA
"Cryptoporus volvatus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Cryptoporus",2,2,118051,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Cumagloia andersonii","Plant","Plantae","Rhodophyta","Florideophyceae","Nemaliales","Liagoraceae","Cumagloia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cumagloia andersonii","117779",NA,NA
"Cupido comyntas","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Cupido",1,1,122381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Cupressus arizonica","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Cupressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Arizona Cypress","Present","Cupressus glabra","57888","Cupressus arizonica",NA
"Cupressus macrocarpa","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Cupressus",7,5,322545,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,"Monterey Cypress","Present","Cupressus macrocarpa","322545",NA,NA
"Cupressus sargentii","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Cupressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sargent Cypress","Unconfirmed","Cupressus sargentii","83149",NA,NA
"Cuscuta californica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dodder","Present","Cuscuta californica","57019",NA,NA
"Cuscuta pacifica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta",1,1,76553,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Cuscuta salina","Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta",3,3,64204,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,"goldenthread, saltmarsh dodder","Present","Cuscuta salina","64204",NA,NA
"Cuthona divae","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Cuthona",1,1,47399,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Cyanocitta stelleri","Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta",8,6,8234,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,3,2,1,"Steller's Jay","Present","Cyanocitta stelleri","8234",NA,NA
"Cygnus buccinator","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trumpeter Swan","Unconfirmed","Cygnus buccinator","6915",NA,NA
"Cygnus columbianus","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tundra Swan","Present","Cygnus columbianus","6917",NA,NA
"Cygnus olor","Bird","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus",1,1,6921,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Cymatogaster aggregata","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shiner perch","Present","Cymatogaster aggregata","98855",NA,NA
"Cymbalaria muralis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Cymbalaria",5,5,55727,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,0,"Kenilworth Ivy","Present","Cymbalaria muralis","55727",NA,NA
"Cynoglossum grande","Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Cynoglossum",3,3,49142,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Hound's Tongue","Present","Cynoglossum grande","49142",NA,NA
"Cynosurus echinatus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Cynosurus",5,1,47695,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,"bristly dogstail grass, Hedgehog Dogtail","Present","Cynosurus echinatus","47695",NA,NA
"Cyperus dioicus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Cyperus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flatsedge","Unconfirmed","Cyperus dioicus","290516",NA,NA
"Cyperus eragrostis","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Cyperus",3,2,59055,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,"nutsedge, Tall Cyperus, tall flatsedge, umbrella sedge","Present","Cyperus eragrostis","59055",NA,NA
"Cyperus involucratus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Cyperus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutsedge, umbrella plant","Probably Present","Cyperus involucratus","76588",NA,NA
"Cyperus niger","Plant","Viridiplantae","Streptophyta","Liliopsida","Poales","Cyperaceae","Cyperus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"black flatsedge, Black-flowered Cyperus, nutsedge","Present","Cyperus niger",NA,"Cyperus niger",NA
"Cyprinus carpio","Fish","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common carp, European carp","Present","Cyprinus carpio","53911",NA,NA
"Cypseloides niger","Bird","Animalia","Chordata","Aves","Caprimulgiformes","Apodidae","Cypseloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Swift","Present","Cypseloides niger","6667",NA,NA
"Cystopteris fragilis","Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Cystopteridaceae","Cystopteris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brittle bladder fern, brittle bladderfern, fragile fern","Probably Present","Cystopteris fragilis","58755",NA,NA
"Cystoseira osmundacea","Microbe","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Cystoseria osmundacea",NA,"Cystoseira osmundacea",NA
"Cytisus scoparius","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Cytisus",1,1,48538,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Scotch Broom, scotchbroom","Present","Cytisus scoparius","48538",NA,NA
"Dacrymyces chrysocomus","Fungi","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Dacrymyces",1,1,528854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"Dacrymyces chrysospermus","Fungi","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Dacrymyces",2,2,118028,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"Dactylis glomerata","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Dactylis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orchard Grass, orchardgrass","Present","Dactylis glomerata","52720",NA,NA
"Dama dama","Mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Dama",2,2,42161,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"fallow deer, Fallow Deer","Present","Dama dama","42161",NA,NA
"Danaus plexippus","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus",2,2,48662,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Danthonia californica","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Danthonia",1,1,57165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"California oatgrass","Present","Danthonia californica","57165",NA,NA
"Datura stramonium","Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Solanaceae","Datura",1,1,55854,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Jimson Weed","Present","Datura stramonium","55854",NA,NA
